town,address,land_area,object_num,building_area,n_bed,n_hall,n_bath,price,unitprice,main_area,aux_area,balcony_area,trans_num,year,month,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,percent_aux,percent_balcony,n_story,n_material,n_urb_zoning,d_urban,d_elevator,completion_year,age,d_presale,d_comp,d_manager,d_spec_rel,d_presale_2,d_notreg,d_hotspring,d_leak,d_reno,closest_station,min_dist
冬山鄉,宜蘭縣冬山鄉美和路一段１２０巷１６號,150.35,土地2建物1車位0,220.87,3,2,5,8100000.0,36673.0,220.87,0.0,0.0,,2021,11,20540,14538,11127,5385,0.0,0.0,3.0,rc,,0,0.0,2012.0,9.0,0,1,0,0,0,0,0,0,0,羅東,5385
羅東鎮,宜蘭縣羅東鎮復興路一段１５８號,80.0,土地3建物1車位0,198.03,3,3,4,17300000.0,87361.0,198.03,0.0,0.0,,2021,11,12415,8685,5275,1281,0.0,0.0,4.0,rc,res,1,0.0,1989.0,32.0,0,1,0,0,0,0,0,0,0,羅東,1281
羅東鎮,宜蘭縣羅東鎮純精路三段２５２巷３２號,98.0,土地1建物1車位0,223.3,4,3,5,18000000.0,80609.0,207.46,0.0,15.84,,2021,11,12578,8848,5437,2021,0.0,7.090000000000001,3.0,rc,res,1,0.0,2015.0,6.0,0,1,0,0,0,0,0,0,0,羅東,2021
羅東鎮,宜蘭縣羅東鎮民族路３３巷２之１號,81.0,土地1建物1車位0,164.76,6,1,2,13200000.0,80117.0,164.76,0.0,0.0,,2021,11,13569,9839,6428,904,0.0,0.0,3.0,enf_brick,comm,1,0.0,1975.0,46.0,0,1,0,0,0,0,0,0,0,羅東,904
三星鄉,宜蘭縣三星鄉大隱六路２１５號,136.78,土地4建物1車位0,156.95,4,2,3,5800000.0,36954.0,136.11,20.84,0.0,,2021,11,19553,14300,12412,7375,13.28,0.0,4.0,rc,,0,0.0,1995.0,26.0,0,1,0,0,0,0,0,0,0,羅東,7375
五結鄉,宜蘭縣五結鄉隆昌路９３巷２７號,96.73,土地2建物1車位0,165.81,4,2,5,12000000.0,72372.0,142.62,3.3,19.89,435.0,2021,11,11814,8084,4674,2185,1.9900000000000002,12.0,3.0,rc,res,1,0.0,2016.0,5.0,0,1,0,0,0,0,0,0,0,羅東,2185
員山鄉,宜蘭縣員山鄉同新路３２１號,160.48,土地3建物1車位0,115.12,4,2,3,7550000.0,65584.0,115.12,0.0,0.0,,2021,11,5645,3618,9368,12366,0.0,0.0,2.0,brick,,0,0.0,1980.0,41.0,0,1,0,0,0,0,0,1,0,宜蘭,3618
壯圍鄉,宜蘭縣壯圍鄉順和路２１之６１號,111.65,土地6建物1車位0,181.51,4,2,5,8500000.0,46829.0,174.38,0.0,7.13,,2021,11,6192,5857,8625,14920,0.0,3.93,3.0,rc,,0,0.0,2020.0,1.0,0,1,0,0,0,0,0,0,0,宜蘭,5857
員山鄉,宜蘭縣員山鄉枕山路１０８之１７號,92.74,土地2建物1車位0,172.68,4,2,5,10000000.0,57911.0,157.66,0.0,15.02,,2021,11,7201,5174,10696,15142,0.0,8.7,3.0,rc,,0,0.0,2021.0,0.0,0,1,0,0,0,0,0,0,0,宜蘭,5174
宜蘭市,宜蘭縣宜蘭市東後街４９號,121.16,土地2建物1車位0,364.68,5,2,3,13000000.0,35648.0,351.0,0.0,13.68,,2021,11,3501,817,5179,10915,0.0,3.75,4.0,rc,res,1,0.0,1987.0,34.0,0,1,0,1,0,0,0,0,0,宜蘭,817
