town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,lat,lng
五結鄉,宜蘭縣五結鄉親河路一段１５７號,93.86,,一般農業區,甲種建築用地,1090205,土地1建物1車位0,二層,鋼筋混凝土加強磚造,690319.0,126.12,2,2,2,有,無,2800000.0,22201.0,二親等間買賣母子,RPRNMLTLNHPFFAG09CA,126.12,0.0,0.0,,,2020,2,24.6887633,121.8050125
三星鄉,宜蘭縣三星鄉月眉三路５８巷２號,126.72,住,,,1090415,土地3建物1車位0,三層,鋼筋混凝土造,960914.0,172.85,4,2,3,有,無,6000000.0,34712.0,含增建或未登記建物。；,RPVOMLLJOHPFFAG68CA,151.05,13.71,8.09,,,2020,4,24.6678831,121.6553411
宜蘭市,宜蘭縣宜蘭市清華二路２００巷２號,96.0,,特定農業區,甲種建築用地,1090429,土地2建物1車位0,三層,鋼筋混凝土造,1080923.0,191.59,4,2,5,有,無,9500000.0,49585.0,,RPTNMLLJOHPFFBG48CA,171.37,0.0,20.22,,,2020,4,24.7242925,121.7459229
宜蘭市,宜蘭縣宜蘭市民權路三段42巷33號,94.0,,鄉村區,乙種建築用地,1090429,土地1建物1車位0,二層,鋼筋混凝土加強磚造,670616.0,96.36,3,2,2,有,無,4000000.0,41511.0,含增建或未登記建物。；,RPXPMLSLNHPFFBG37DA,96.36,0.0,0.0,,,2020,4,24.7600368,121.7401153
壯圍鄉,宜蘭縣壯圍鄉壯五路１２巷５之１２號,119.04,農,,,1090426,土地1建物1車位0,三層,鋼筋混凝土造,1040112.0,200.43,4,2,4,有,無,9500000.0,47398.0,一樓空地及頂樓有增建,RPXNMLPJOHPFFBG66CA,196.6,0.0,3.83,,,2020,4,24.7476802,121.7916256
壯圍鄉,宜蘭縣壯圍鄉壯濱路二段４９巷９號,144.8,,鄉村區,乙種建築用地,1090224,土地2建物1車位0,三層,鋼筋混凝土造,1090316.0,176.22,4,2,3,有,無,9300000.0,52775.0,,RPSRMLSLNHPFFBG96CA,160.32,0.0,15.9,,,2020,2,24.734877,121.8178459
冬山鄉,宜蘭縣冬山鄉清溝路２３２號,146.33,農,,,1081026,土地6建物1車位0,三層,見其他登記事項,1090106.0,175.19,5,2,4,有,無,13590000.0,77573.0,,RPSPMLMKOHPFFAG68CA,160.36,0.0,14.83,,,2019,10,24.6598188,121.7607636
蘇澳鎮,宜蘭縣蘇澳鎮光明南巷３號,260.55,住,,,1090427,土地1建物1車位0,一層,加強磚造,,157.32,1,2,1,有,無,4230000.0,26888.0,,RPPNMLOKOHPFFAG38CA,157.32,0.0,0.0,,,2020,4,24.5915966,121.8530142
蘇澳鎮,宜蘭縣蘇澳鎮成功路４號,100.33,住,,,1090409,土地1建物1車位0,三層,鋼筋混凝土加強磚造,660714.0,206.0,5,2,2,有,無,2350000.0,11408.0,,RPSOMLPJOHPFFAG78CA,206.0,0.0,0.0,,,2020,4,24.5912422,121.8514403
五結鄉,宜蘭縣五結鄉中正路二段２０號,87.02,住,,,1090428,土地1建物1車位0,二層,加強磚造,670117.0,144.42,3,1,2,有,無,8500000.0,58856.0,,RPQNMLMJOHPFFAG18CA,144.42,0.0,0.0,,,2020,4,24.6952818,121.7695451
蘇澳鎮,宜蘭縣蘇澳鎮龍祥二路6巷12之1號,85.5,,工業區,丁種建築用地,1090504,土地1建物1車位0,三層,鋼筋混凝土造,1081108.0,152.67,4,2,3,有,無,7200000.0,47161.0,,RPQOMLTLNHPFFAG09CA,138.5,0.0,14.17,,,2020,5,24.6348345,121.827227
壯圍鄉,宜蘭縣壯圍鄉順和路９６之１５號,161.52,,特定農業區,甲種建築用地,1090506,土地3建物1車位0,三層,鋼筋混凝土造,1041022.0,173.32,4,2,3,有,無,7900000.0,45580.0,一樓後方空地增建。,RPVNMLPKOHPFFBG56CA,152.24,0.0,21.08,,,2020,5,24.767672,121.805303
