town,address,land_area,urb_zoning,nurb_zoning,nurb_land,date,object_num,story,material,completion_date,building_area,n_bed,n_hall,n_bath,d_comp,d_manager,price,unitprice,note,serialnumber,main_area,aux_area,balcony_area,d_elevator,trans_num,year,month,place_id,dist_to四城,dist_to宜蘭,dist_to縣政中心,dist_to羅東,dur_to四城,dur_to宜蘭,dur_to縣政中心,dur_to羅東
羅東鎮,黎明街１８號,49.5,都市：其他:住宅區,,,1100121,土地1建物2車位0,二層,鋼筋混凝土造,711020.0,118.04,3,2,3,有,無,5000000.0,42359.0,兄弟間買賣親友、員工、共有人或其他特殊關係間之交易；,RPQOMLSKKHGGFAG87DA,118.04,0.0,0.0,無,,2021,1,ChIJd-iBGXjmZzQRSxP-7aeqv-s,13614,9884,6473,881,1427,1211,735,288
五結鄉,大吉二路２３７巷２０號,80.83,,鄉村區,乙種建築用地,1100121,土地1建物1車位0,四層,鋼筋混凝土造,830915.0,203.83,4,2,3,有,無,6500000.0,31889.0,一樓空地 增建約1.5坪其他增建；,RPSNMLNLJHGGFAG47DA,152.37,51.46,0.0,無,,2021,1,ChIJDRRA6PLlZzQRXMeIg9hM13Y,12739,10469,6256,5178,1110,1091,693,738
三星鄉,楓林一路１７５巷２號,136.02,,特定農業區,甲種建築用地,1100121,土地3建物1車位0,三層,鋼筋混凝土造,1070719.0,187.71,5,2,3,有,無,8100000.0,43152.0,,RPOOMLTKKHGGFAG77DA,172.79,0.0,14.92,無,389.0,2021,1,EkNOby4gMTc1LCBGZW5nbGluIDFzdCBSZCwgU2FueGluZyBUb3duc2hpcCwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjY2IjESLwoUChIJraJxoqLhZzQRei-GQbnCdIEQrwEqFAoSCXWrOEG94Wc0ESLrt7T31A-j,21629,15550,14299,11915,1974,1643,1262,1407
羅東鎮,羅莊街３３３巷２２號,119.08,,特定農業區,甲種建築用地,1100116,土地1建物1車位0,一層,鋼筋混凝土造,621224.0,80.16,3,1,1,有,無,3300000.0,41168.0,,RPTOMLTKKHGGFAG38EA,80.16,0.0,0.0,無,,2021,1,ChIJ-_sVCHHmZzQRVElW12DBZeM,16709,10737,7327,1325,1382,1308,833,300
蘇澳鎮,中原路３８１巷２６弄７號,83.69,都市：其他:河川區,,,1100201,土地3建物1車位0,三層,鋼筋混凝土造,840905.0,184.36,4,2,3,有,無,4000000.0,21697.0,姑姪親友、員工、共有人或其他特殊關係間之交易；,RPVOMLTKKHGGFAG58EA,146.28,38.08,0.0,無,,2021,2,ChIJF870-DboZzQRjiZ2zhp4idQ,26333,24063,19897,13675,1716,1698,1540,1424
宜蘭市,中山路五段５７７巷１９弄７號,104.67,都市：其他:農業區,,,1091108,土地3建物1車位0,三層,鋼筋混凝土造,1091229.0,177.48,4,2,4,有,無,9500000.0,53527.0,預售屋、或土地及建物分次登記案件；,RPTNMLSKKHGGFBG18DA,151.8,0.0,25.68,無,,2020,11,Ek9Oby4gMTksIExhbmUgNTc3LCBTZWN0aW9uIDUsIFpob25nc2hhbiBSZCwgWWlsYW4gQ2l0eSwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYwIjASLgoUChIJgyZCfib7ZzQR8Gf102UQtQEQEyoUChIJ_SWwKiT7ZzQRFvFidOzVkWc,846,3193,7860,12632,176,450,795,1486
宜蘭市,中山路五段５７７巷１９弄９號,102.93,都市：其他:農業區,,,1091101,土地3建物1車位0,三層,鋼筋混凝土造,1091229.0,177.48,4,2,4,有,無,9500000.0,53527.0,預售屋、或土地及建物分次登記案件；,RPUNMLSKKHGGFBG28DA,151.8,0.0,25.68,無,,2020,11,Ek9Oby4gMTksIExhbmUgNTc3LCBTZWN0aW9uIDUsIFpob25nc2hhbiBSZCwgWWlsYW4gQ2l0eSwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYwIjASLgoUChIJgyZCfib7ZzQR8Gf102UQtQEQEyoUChIJ_SWwKiT7ZzQRFvFidOzVkWc,846,3193,7860,12632,176,450,795,1486
宜蘭市,中山路五段５７７巷１９弄１３號,140.46,都市：其他:農業區,,,1081029,土地3建物1車位0,四層,鋼筋混凝土造,1091229.0,262.22,5,2,4,有,無,13000000.0,49577.0,預售屋、或土地及建物分次登記案件；,RPVNMLSKKHGGFBG38DA,231.55,0.0,30.67,有,,2019,10,Ek9Oby4gMTksIExhbmUgNTc3LCBTZWN0aW9uIDUsIFpob25nc2hhbiBSZCwgWWlsYW4gQ2l0eSwgWWlsYW4gQ291bnR5LCBUYWl3YW4gMjYwIjASLgoUChIJgyZCfib7ZzQR8Gf102UQtQEQEyoUChIJ_SWwKiT7ZzQRFvFidOzVkWc,846,3193,7860,12632,176,450,795,1486
壯圍鄉,中央路二段２１０巷２２號,92.14,都市：其他:住宅區,,,1090901,土地1建物1車位0,二層,鋼筋混凝土加強磚造,701119.0,105.48,4,3,2,有,無,2500000.0,23701.0,親友、員工、共有人或其他特殊關係間之交易；頂樓加蓋；,RPOOMLMLKHGGFBG27DA,105.48,0.0,0.0,無,,2020,9,ChIJazo2QT_lZzQRiXLgOtTlOaY,6891,4621,5126,10616,657,638,494,970
員山鄉,嵐峰路三段４４９巷３弄８號,113.6,都市：其他:農業區,,,1100106,土地2建物1車位0,三層,鋼筋混凝土造,990527.0,191.38,4,2,3,有,無,12000000.0,62702.0,,RPOPMLKLKHGGFBG17DA,170.25,0.0,21.13,無,,2021,1,ChIJH6-QwpDkZzQRQUID0LJtVPQ,5912,3963,6448,10593,936,625,679,1381
五結鄉,中正路三段４７巷１０弄１８號,151.88,都市：其他:住宅區,,,1091220,土地1建物1車位0,四層,鋼筋混凝土造,810402.0,220.8,4,3,3,有,無,5000000.0,22645.0,姊弟關係親友、員工、共有人或其他特殊關係間之交易；,RPVOMLKLKHGGFAG77EA,220.8,0.0,0.0,無,,2020,12,ChIJZ6GOz7XlZzQR0bPPhVtPrGo,10131,6401,2990,3341,1031,814,338,605
蘇澳鎮,海山東路１００巷１３號,94.35,都市：其他:住宅區,,,1100110,土地2建物1車位0,三層,鋼筋混凝土造,1091027.0,148.29,4,2,5,有,無,6500000.0,43833.0,,RPQNMLKLKHGGFAG07DA,138.89,0.0,9.4,無,,2021,1,Ek1Oby4gMTMsIExhbmUgMTAwLCBIYWlzaGFuIEVhc3QgUm9hZCwgU3UnYW8gVG93bnNoaXAsIFlpbGFuIENvdW50eSwgVGFpd2FuIDI3MCIwEi4KFAoSCb-5FflZ6Gc0ETAkiadS3FVpEA0qFAoSCUvTifBZ6Gc0ERh-gW-gZ4P5,24412,22143,17976,13810,1541,1522,1364,1112
三星鄉,大德中路５９號,160.23,,特定農業區,甲種建築用地,1100113,土地2建物1車位0,四層,鋼筋混凝土造,1061221.0,251.25,3,2,5,有,無,11200000.0,44577.0,,RPPNMLLLKHGGFAG07DA,230.92,0.0,20.33,有,,2021,1,ChIJc1kM7wDkZzQREJwVCdQulH8,15706,9627,8376,6164,1457,1126,746,937
五結鄉,親河路二段１０３巷３弄１７號,84.68,,特定農業區,甲種建築用地,1100201,土地1建物1車位0,四層,鋼筋混凝土造,831026.0,222.9,6,1,6,有,無,9500000.0,42620.0,增建：4樓增建其他增建；,RPPPMLKLKHGGFAG17DA,167.25,55.65,0.0,無,,2021,2,ChIJTS_47P_lZzQR6ySKxk48MsY,15987,13717,9551,4076,1281,1262,966,582
