縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
桃園縣,桃園市,中平路-中平路101至150號,15,臨街地,住宅大樓,鋼筋混凝土造,０８４０９,100年04月,20,15,商業區,2.70,35.31,270,7.65
桃園縣,桃園市,中平路-中平路101至150號,15,臨街地,住宅大樓,鋼筋混凝土造,０８４０９,101年01月,20,5,商業區,1.58,18.39,185,10.06
桃園縣,桃園市,中平路-中平路151至200號,15,臨街地,華廈,鋼筋混凝土造,０８７０９,100年12月,8,6,住宅區,6.31,47.28,435,9.20
桃園縣,桃園市,中平路-中平路151至200號,15,臨街地,華廈,鋼筋混凝土造,０９４０４,101年04月,7,2,住宅區,3.88,40.20,290,7.21
桃園縣,桃園市,中平路-中平路168號,15,臨街地,華廈,鋼筋混凝土造,０８３０５,101年07月,7,2,住宅區,6.36,45.16,430,9.52
桃園縣,桃園市,中平路-中平路1巷2弄,15,裡地,公寓,鋼筋混凝土造,０６９１１,100年07月,4,1,住宅區,10.30,27.01,290,10.74
桃園縣,桃園市,中平路-中平路51至100號,15,臨街地,住宅大樓,鋼骨鋼筋混凝土造,０８２０４,101年01月,22,21,商業區,4.37,47.22,600,12.71
桃園縣,桃園市,中平路-中平路77巷,15,裡地,住宅大樓,鋼筋混凝土造,０８２０８,100年07月,14,1,住宅區,5.77,28.58,420,14.70
桃園縣,桃園市,中平路-中州街與吉昌街間,15,裡地,住宅大樓,鋼筋混凝土造,０８２０８,100年01月,14,7,住宅區,4.73,29.38,250,8.51
桃園縣,桃園市,中平路-中州街與宏昌六街之間,15,臨街地,公寓,鋼筋混凝土造,０７００７,093年12月,4,3,商業區,11.20,34.50,270,7.83
桃園縣,桃園市,中平路-中州街與宏昌六街之間,15,臨街地,住宅大樓,鋼筋混凝土造,０８４０９,095年09月,20,3,商業區,1.95,27.00,250,9.26
桃園縣,桃園市,中平路-中州街與宏昌六街間,15,臨街地,住宅大樓,鋼筋混凝土造,０８４０９,099年07月,20,1,商業區,3.14,36.63,1320,36.04
桃園縣,桃園市,中平路-中州街與壽昌街之間,15,裡地,住宅大樓,鋼筋混凝土造,０８２０８,099年07月,14,12,住宅區,3.54,21.55,180,8.35
桃園縣,桃園市,中平路-宏昌十街與宏昌十二街間,15,臨街地,透天住宅,鋼骨造,０８９０６,096年12月,1,全,住宅區,70.72,43.11,2550,59.15
桃園縣,桃園市,中平路-宏昌六街與宏昌十二街間,15,臨街地,華廈,鋼筋混凝土造,０８３１０,098年01月,8,8,住宅區,7.15,47.80,320,6.69
桃園縣,桃園市,中平路-宏昌六街與宏昌十二街間,15,臨街地,華廈,鋼筋混凝土造,０８３１０,099年01月,8,3,住宅區,7.04,47.81,429,8.97
桃園縣,桃園市,中正二街-中正二街1至50號,7,臨街地,華廈,鋼筋混凝土造,０６９０９,101年01月,6,4,住宅區,7.28,29.62,350,11.82
桃園縣,桃園市,中正三街-力行路與永康街之間,10,臨街地,華廈,鋼筋混凝土造,０７８０７,099年04月,7,2,住宅區,5.61,35.23,320,9.08
桃園縣,桃園市,中正三街-力行路與愛三街之間,6,臨街地,透天住宅,鋼筋混凝土造,０９５１２,096年01月,5,全,住宅區,34.18,91.88,1210,13.17
桃園縣,桃園市,中正三街-力行路與愛三街之間,10,臨街地,住宅大樓,鋼筋混凝土造,０９４０４,099年04月,12,4,住宅區,8.64,59.39,610,10.27
桃園縣,桃園市,中正三街-中正三街151至200號,10,臨街地,住宅大樓,鋼筋混凝土造,１０００３,100年04月,13,8,住宅區,212.91,23.01,365,15.86
桃園縣,桃園市,中正三街-中正三街151至200號,10,臨街地,住宅大樓,鋼筋混凝土造,１０００３,100年04月,13,13,住宅區,5.10,39.52,610,15.44
桃園縣,桃園市,中正三街-中正三街151至200號,10,臨街地,住宅大樓,鋼筋混凝土造,１０００３,100年12月,12,11,住宅區,5.10,39.52,545,13.79
桃園縣,桃園市,中正三街-中正三街351至400號,10,臨街地,住宅大樓,鋼筋混凝土造,０９４０４,100年04月,12,4,住宅區,6.93,48.94,530,10.83
