縣市別,行政區,街道名稱及範圍,路寬(m),臨街關係,用途類別,構造種類,建築完成年月,移轉日期,總樓層數,移轉層數,土地使用分區,移轉土地面積(坪),移轉房屋面積(坪),總價(萬元),單價(萬元/坪)
宜蘭縣,五結鄉,西河北路-西河北路附近,7,裡地,透天住宅,鋼筋混凝土造,０９６０８,097年04月,3,全,農業區,32.06,67.83,590,8.70
宜蘭縣,五結鄉,西河北路-鎮安廟附近,10,臨街地,透天住宅,鋼筋混凝土造,０８００２,094年04月,3,全,工業區,34.13,46.98,567,12.07
宜蘭縣,五結鄉,西河北路-鎮安廟附近,7,裡地,透天住宅,鋼筋混凝土造,０８００３,096年12月,3,全,住宅區,66.31,62.98,550,8.73
宜蘭縣,五結鄉,西河北路-鎮安廟附近,7,裡地,透天住宅,鋼筋混凝土造,０８００３,097年04月,3,全,住宅區,34.48,47.69,430,9.02
宜蘭縣,五結鄉,西河北路-鎮安廟附近,7,臨街地,透天住宅,鋼筋混凝土造,０９６０８,097年04月,3,全,農業區,30.68,67.28,610,9.07
宜蘭縣,五結鄉,西河路2巷-興中紙業二結廠附近,4,裡地,透天住宅,鋼筋混凝土加強磚造,０６６０７,100年01月,2,全,住宅區,31.90,29.75,240,8.07
宜蘭縣,五結鄉,西河路-中興紙廠第二廠附近,10,裡地,透天住宅,加強磚造,０６６０８,091年04月,2,全,住宅區,24.81,29.87,240,8.03
宜蘭縣,五結鄉,西河路-中興國小附近,10,裡地,透天住宅,鋼筋混凝土加強磚造,０７４０６,097年01月,2,全,商業區,29.06,38.75,501,12.93
宜蘭縣,五結鄉,西河路-西河路黃金城1號至50號,6,裡地,透天住宅,鋼筋混凝土造,０７３０６,101年01月,2,全,住宅區,25.57,34.94,360,10.30
宜蘭縣,五結鄉,西河路-西河路與中正西路間,10,裡地,透天住宅,加強磚造,０６７０３,093年01月,2,全,住宅區,23.03,28.66,220,7.68
宜蘭縣,五結鄉,西河路-學進國小附近,10,裡地,透天住宅,鋼筋混凝土加強磚造,０６７０３,094年12月,2,全,住宅區,23.18,28.66,230,8.03
宜蘭縣,五結鄉,西河路-學進國小附近,10,裡地,透天住宅,鋼筋混凝土造,０８４０３,095年01月,3,全,住宅區,27.48,42.99,350,8.14
宜蘭縣,五結鄉,西河路-學進國小附近,10,裡地,工廠,鋼筋混凝土造,０９５０５,096年04月,2,全,工業區,67.16,75.26,670,8.90
宜蘭縣,五結鄉,西河路-學進國小附近,10,臨街地,透天住宅,鋼筋混凝土造,０７３０６,096年04月,2,全,住宅區,25.57,34.94,255,7.30
宜蘭縣,五結鄉,西河路-學進國小附近,10,裡地,透天住宅,鋼筋混凝土造,０７３０６,096年07月,2,全,住宅區,28.68,36.48,360,9.87
宜蘭縣,五結鄉,西河路-興中紙業二結廠,5,裡地,透天住宅,鋼筋混凝土造,０９３０５,098年04月,3,全,住宅區,35.75,64.30,575,8.94
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,裡地,工廠,鋼筋混凝土造,０９５０５,095年12月,2,全,工業區,67.16,75.26,660,8.77
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,裡地,透天住宅,鋼筋混凝土造,０９５０８,095年12月,3,全,住宅區,29.97,64.84,680,10.49
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,臨街地,透天住宅,鋼筋混凝土加強磚造,０６７０３,097年12月,2,全,住宅區,23.18,28.66,240,8.37
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,裡地,透天住宅,鋼筋混凝土造,０９５０８,098年04月,3,全,住宅區,34.58,64.84,565,8.71
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,7,裡地,透天住宅,鋼筋混凝土加強磚造,０７６１０,098年07月,2,全,住宅區,34.18,38.44,350,9.11
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,裡地,透天住宅,鋼筋混凝土造,０９３０５,098年10月,3,全,住宅區,30.44,63.59,550,8.65
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,10,裡地,透天住宅,鋼筋混凝土造,０８４０１,098年10月,4,全,住宅區,19.71,46.19,340,7.36
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,8,臨街地,工廠,鋼筋混凝土造,０９５０５,099年01月,2,全,工業區,67.16,75.26,710,9.43
宜蘭縣,五結鄉,西河路-興中紙業二結廠附近,8,裡地,透天住宅,鋼筋混凝土造,０９５０７,099年07月,3,全,工業區,84.98,107.10,880,8.22
宜蘭縣,五結鄉,西河路-薛長興工業附近,7,裡地,透天住宅,鋼筋混凝土造,０９５０８,097年04月,3,全,住宅區,31.54,64.93,640,9.86
宜蘭縣,五結鄉,西河路-薛長興工業附近,5,臨街地,透天住宅,鋼筋混凝土加強磚造,０８１０３,099年07月,2,全,甲種建築用地,37.05,43.36,310,7.15
宜蘭縣,五結鄉,利成路1段196巷-成興村興安宮以北,5,裡地,透天住宅,鋼筋混凝土造,０８４０２,100年07月,3,全,乙種建築用地,33.39,55.53,370,6.66
宜蘭縣,五結鄉,利成路1段336巷-利成路1段與成鳳路之間,4,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０７,099年04月,2,全,乙種建築用地,33.50,35.68,160,4.48
宜蘭縣,五結鄉,利成路1段380巷-成興村福德廟附近,6,裡地,透天住宅,加強磚造,０７００９,100年01月,2,全,乙種建築用地,29.86,40.67,230,5.66
宜蘭縣,五結鄉,利成路1段396巷-利成路1段396巷50號至100號間,6,裡地,甲種建築用地,鋼筋混凝土加強磚造,０７３０４,100年12月,2,全,透天住宅,29.35,41.15,195,4.74
宜蘭縣,五結鄉,利成路1段-利成路1段346巷至196巷間,15,臨街地,透天住宅,加強磚造,０７１０４,100年04月,2,全,乙種建築用地,27.95,40.61,270,6.65
宜蘭縣,五結鄉,利成路1段-利成路1段396巷至312巷間,15,裡地,透天住宅,鋼筋混凝土加強磚造,０７０１０,100年04月,3,全,乙種建築用地,28.68,58.81,316,5.37
宜蘭縣,五結鄉,利成路1段-挽善堂附近,15,臨街地,透天住宅,鋼筋混凝土加強磚造,０６９０９,099年07月,3,全,乙種建築用地,24.10,69.72,370,5.31
宜蘭縣,五結鄉,利成路2段230巷-利澤村福德廟附近,6,裡地,透天住宅,鋼筋混凝土造,０９１１１,100年07月,3,全,乙種建築用地,35.45,54.07,445,8.23
宜蘭縣,五結鄉,利成路2段2巷-利成路2段與成鳳路之間,5,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０６,099年04月,2,全,乙種建築用地,28.84,29.77,190,6.38
宜蘭縣,五結鄉,利成路2段2巷-利成路2段與成鳳路間,5,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０６,099年12月,2,全,乙種建築用地,28.91,30.00,170,5.67
宜蘭縣,五結鄉,利成路-大眾廟附近,15,裡地,透天住宅,鋼筋混凝土加強磚造,０７１０８,096年07月,2,全,甲種建築用地,54.78,41.23,320,7.76
宜蘭縣,五結鄉,利成路-大眾廟附近,15,裡地,透天住宅,加強磚造,０６９０９,096年07月,2,全,乙種建築用地,32.30,42.91,180,4.19
宜蘭縣,五結鄉,利成路-大眾廟附近,15,裡地,透天住宅,鋼筋混凝土造,０９５１０,096年12月,3,全,乙種建築用地,35.34,54.71,380,6.95
宜蘭縣,五結鄉,利成路-大眾廟附近,15,裡地,透天住宅,鋼筋混凝土造,０９５１０,097年01月,3,全,乙種建築用地,34.86,54.71,400,7.31
宜蘭縣,五結鄉,利成路-大眾廟附近,15,裡地,透天住宅,鋼筋混凝土造,０９５１０,097年01月,3,全,乙種建築用地,40.63,55.36,403,7.28
宜蘭縣,五結鄉,利成路-五結第二公墓附近,12,裡地,透天住宅,鋼筋混凝土造,０８４０６,098年01月,3,全,乙種建築用地,31.90,54.96,336,6.11
宜蘭縣,五結鄉,利成路-五結第二公墓附近,12,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０９,098年04月,2,全,乙種建築用地,33.70,44.87,190,4.23
宜蘭縣,五結鄉,利成路-五結第二公墓附近,15,裡地,透天住宅,鋼筋混凝土造,０８４０６,099年01月,3,全,乙種建築用地,33.69,54.96,280,5.09
宜蘭縣,五結鄉,利成路-利成路與宜30線間,15,裡地,透天住宅,鋼筋混凝土造,０８４０４,096年01月,4,全,乙種建築用地,21.48,47.32,270,5.71
宜蘭縣,五結鄉,利成路-利澤西路五福路間,15,裡地,透天住宅,鋼筋混凝土加強磚造,０６８１０,095年01月,2,全,乙種建築用地,21.63,28.02,186,6.64
宜蘭縣,五結鄉,利成路-利澤西路五福路間,15,臨街地,店面(店舖),鋼筋混凝土加強磚造,０６７０９,095年01月,2,全,乙種建築用地,27.29,40.38,380,9.41
宜蘭縣,五結鄉,利成路-利澤西路宜30線間,15,裡地,透天住宅,鋼筋混凝土加強磚造,０６９０６,094年01月,2,全,乙種建築用地,28.89,29.77,250,8.40
宜蘭縣,五結鄉,利成路-利澤國小附近,15,裡地,透天住宅,鋼筋混凝土加強磚造,０６８１０,096年12月,2,全,乙種建築用地,22.96,28.02,155,5.53
宜蘭縣,五結鄉,利澤西路-補城路662巷與茄東路間,5,裡地,透天住宅,鋼筋混凝土加強磚造,０８２０９,101年04月,2,全,甲種建築用地,65.09,39.45,400,10.14
宜蘭縣,五結鄉,利澤東路-永安宮附近,5,裡地,透天住宅,鋼筋混凝土造,０８４０３,099年07月,4,全,乙種建築用地,29.95,56.63,360,6.36
宜蘭縣,五結鄉,利澤路-五結示範托兒所與利澤郵局附近,15,裡地,透天住宅,鋼筋混凝土造,０８２１１,096年01月,3,全,乙種建築用地,33.90,52.95,288,5.44
宜蘭縣,五結鄉,利澤路-永安宮附近,10,裡地,透天住宅,鋼筋混凝土加強磚造,０６９１０,098年07月,2,全,乙種建築用地,28.71,55.35,320,5.78
宜蘭縣,五結鄉,利澤路-永安宮附近,10,臨街地,透天住宅,鋼筋混凝土加強磚造,０７００８,099年04月,2,全,乙種建築用地,35.56,27.70,250,9.03
宜蘭縣,五結鄉,利澤路-利澤郵局附近,15,裡地,透天住宅,鋼筋混凝土加強磚造,０６８０３,096年01月,3,全,乙種建築用地,92.73,52.63,630,11.97
宜蘭縣,五結鄉,孝威三路-孝威國小附近,7,裡地,農舍,鋼筋混凝土造,０９４０３,094年04月,3,全,農牧用地,252.89,74.43,580,7.79
宜蘭縣,五結鄉,孝威南路-宏國木業附近,5,裡地,透天住宅,鋼筋混凝土造,０８３０１,096年12月,3,全,甲種建築用地,33.88,52.65,330,6.27
